"date","mean_temp","exp_week"
1999-07-08,28.25,2
1999-07-20,29.085,3
1999-07-27,30.335,4
1999-08-04,30.665,5
1999-08-11,30.915,6
1999-08-17,31.335,7
1999-08-24,30.75,8
1999-08-31,30.835,9
1999-09-07,31.335,10
1999-09-19,30,12
1999-09-23,30,13
1999-10-05,30,14
1999-10-13,29.25,15
1999-10-19,29.25,16
1999-10-27,28.335,17
1999-11-02,27.92,18
1999-11-14,27.085,19
1999-11-17,26.085,20
1999-11-24,25.92,21
1999-11-30,26.165,22
1999-12-07,24.5,23
1999-12-15,24.835,24
1999-12-21,25.165,25
2000-01-01,24.585,26
2000-01-06,25.085,27
2000-01-11,25.25,28
2000-01-18,23.5,29
2000-01-25,23.5,30
2000-02-01,23.415,31
2000-02-08,24.25,32
2000-02-16,24.335,33
2000-02-23,24.33,34
2000-02-29,23.5,35
2000-03-08,25.335,36
2000-03-14,24.835,37
2000-03-21,25.25,38
2000-03-26,24.75,39
2000-04-05,26.08,40
2000-04-13,25.25,41
2000-04-18,26.085,42
2000-04-27,27.92,43
2000-05-02,27.42,44
2000-05-10,26.335,45
2000-05-16,28.165,46
2000-05-25,27.75,47
2000-05-30,29.75,48
2000-06-07,29.67,49
2000-06-16,29.58,50
2000-06-22,28.83,51
2000-06-27,29.085,52
2000-07-05,29.665,53
2000-07-14,30.665,54
2000-07-19,31.75,55
2000-07-25,30.915,56
2000-08-01,30.085,57
2000-08-09,30.17,58
2000-08-29,29.835,61
2000-09-05,30.415,62
2000-09-14,31.21,63
2000-09-20,30.33,64
2000-09-28,30,65
2000-10-04,29.585,66
2000-10-13,29.585,68
2000-10-19,28.33,69
2000-10-24,28.33,70
2000-10-31,27.25,71
2000-11-09,26.335,72
2000-11-17,26.585,73
2000-11-26,25.915,75
2000-12-13,26.165,76
